Area,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
lacu2023:Sefton,"279,693","13,492","15,088","15,330","14,231","13,467","15,058","17,152","16,929","15,672","16,463","20,070","21,596","19,987","16,881","16,605","12,626","9,556","9,490"
lacu2023:Wirral,"320,631","16,233","18,691","19,319","17,373","15,062","17,730","19,718","19,272","18,388","19,529","22,921","23,904","21,672","18,939","19,110","13,702","9,676","9,392"
lacu2023:Lancashire,"1,236,228","63,267","70,786","73,603","73,151","72,788","70,447","77,002","75,361","70,925","75,042","87,702","89,305","78,909","67,877","70,628","52,019","34,988","32,428"
"lacu2023:Kingston upon Hull, City of","266,516","15,792","17,206","16,781","15,386","19,092","20,000","20,795","18,816","15,890","16,178","17,269","17,182","15,011","12,297","11,352","7,310","5,197","4,962"
lacu2023:East Riding of Yorkshire,"343,145","14,681","17,324","18,430","17,173","14,540","16,646","18,012","18,119","17,978","21,168","25,622","27,302","25,085","23,194","25,188","18,450","12,609","11,624"
lacu2023:North East Lincolnshire,"157,188","8,360","9,507","9,599","8,628","7,912","9,213","10,404","9,544","8,500","9,225","11,110","11,799","10,347","8,809","8,815","6,366","4,634","4,416"
lacu2023:North Lincolnshire,"169,929","8,406","9,604","10,139","9,085","8,114","9,531","10,662","10,377","9,325","10,173","12,532","12,990","11,475","10,048","10,226","7,460","4,987","4,795"
lacu2023:York,"201,851","8,565","9,871","10,299","14,064","20,340","12,856","12,930","12,499","12,023","11,776","13,321","12,977","11,327","9,802","10,396","7,701","5,497","5,607"
lacu2023:North Yorkshire,"618,627","27,532","31,277","33,669","32,905","26,792","31,486","34,010","33,337","33,466","37,255","46,533","49,761","45,588","40,125","42,082","31,190","21,133","20,486"
lacu2023:Barnsley,"244,887","13,357","14,277","14,439","12,517","12,377","15,933","16,990","15,657","14,007","14,964","18,718","18,067","15,679","13,418","13,049","9,715","6,255","5,468"
lacu2023:Doncaster,"308,697","16,914","18,081","18,684","16,390","16,122","19,986","21,929","20,206","18,163","18,454","21,818","22,033","19,672","16,640","16,361","11,675","8,013","7,556"
lacu2023:Rotherham,"266,173","14,535","15,989","16,536","14,772","14,020","16,303","18,044","17,024","15,387","16,411","19,448","18,657","16,496","14,096","14,185","10,789","7,261","6,220"
lacu2023:Sheffield,"555,035","29,977","32,010","32,102","35,885","50,125","40,407","39,137","35,276","32,221","32,019","36,235","34,620","29,730","24,850","24,491","19,247","13,684","13,019"
lacu2023:Bradford,"546,839","35,806","39,400","41,299","38,274","33,221","34,298","37,870","38,123","35,915","33,578","34,402","32,211","28,942","24,244","22,393","14,742","11,098","11,023"
lacu2023:Calderdale,"206,828","11,228","12,796","13,285","11,831","10,172","11,931","12,929","13,006","12,708","13,606","15,734","15,136","12,970","10,906","11,072","7,815","5,014","4,689"
lacu2023:Kirklees,"433,458","24,955","27,454","28,649","27,079","25,719","26,448","28,294","28,205","27,255","27,793","30,960","28,610","24,773","20,972","21,501","15,148","10,269","9,374"
lacu2023:Leeds,"809,479","46,395","49,557","48,365","49,861","69,406","60,266","60,484","56,826","52,040","48,782","50,936","48,258","40,863","33,867","34,177","24,535","17,433","17,428"
lacu2023:Wakefield,"353,803","19,926","21,034","20,933","18,175","17,775","23,462","25,258","23,824","20,893","22,278","26,427","25,062","21,706","18,453","18,509","13,510","8,873","7,705"
lacu2023:Derby,"261,260","15,122","16,832","17,096","16,172","18,353","18,280","18,345","18,210","16,606","16,267","17,267","16,259","13,394","11,363","11,103","8,294","6,064","6,233"
lacu2023:Leicester,"366,940","22,004","24,803","25,443","27,427","35,396","27,284","27,411","27,219","24,702","22,592","21,958","19,494","17,391","14,026","11,393","7,415","5,480","5,502"
lacu2023:Rutland,"41,342","1,627","1,974","2,442","2,910","1,958","2,179","2,218","2,214","2,355","2,429","2,964","2,951","2,735","2,471","2,797","2,203","1,458","1,457"
lacu2023:Nottingham,"319,978","17,645","19,273","18,859","28,087","43,674","23,923","24,113","21,336","18,483","17,475","17,854","17,106","14,036","11,009","9,805","6,931","5,069","5,300"
lacu2023:North Northamptonshire,"360,418","20,139","22,381","23,358","20,312","17,727","22,115","24,867","24,538","23,350","23,724","26,520","25,035","20,729","17,908","18,377","13,388","8,234","7,716"
lacu2023:West Northamptonshire,"426,707","23,959","26,340","26,873","24,130","24,079","27,145","30,768","29,822","28,712","28,500","30,353","29,003","23,717","19,891","20,418","14,723","9,317","8,957"
lacu2023:Derbyshire,"796,710","38,126","42,870","44,962","39,921","38,104","46,115","48,679","46,458","45,557","51,052","62,081","62,212","53,783","46,859","48,556","37,007","23,203","21,165"
lacu2023:Leicestershire,"712,632","35,664","39,951","41,099","41,892","41,106","40,247","44,685","44,217","42,558","45,067","51,915","50,702","44,462","38,846","40,678","30,567","19,980","18,996"
lacu2023:Lincolnshire,"769,440","35,600","41,052","43,092","41,129","43,130","42,752","45,455","43,603","41,900","45,911","55,198","57,425","51,781","46,438","49,526","38,059","24,685","22,704"
lacu2023:Nottinghamshire,"826,132","41,749","46,987","47,931","42,441","41,400","49,003","53,251","51,635","49,254","51,670","60,759","61,042","52,780","45,600","47,765","36,438","23,957","22,470"
"lacu2023:Herefordshire, County of","187,522","8,366","9,487","10,094","9,278","8,163","9,529","10,601","10,226","9,903","11,004","13,589","14,653","13,749","12,590","12,937","9,977","6,743","6,633"
lacu2023:Telford and Wrekin,"185,857","10,507","11,819","12,264","10,929","10,843","11,672","12,743","12,203","11,216","11,919","13,560","12,682","10,527","9,214","9,098","6,683","4,362","3,616"
lacu2023:Stoke-on-Trent,"258,102","15,499","16,869","16,927","14,980","16,766","17,005","19,028","17,669","15,566","15,462","16,974","16,319","14,468","12,420","11,911","8,782","6,012","5,445"
lacu2023:Shropshire,"324,669","14,338","16,199","17,276","17,125","15,429","16,807","18,032","17,335","16,782","19,496","24,300","25,629","23,265","20,806","21,877","17,384","11,536","11,053"
lacu2023:Birmingham,"1,143,285","74,310","81,000","83,119","85,145","93,133","82,408","84,400","80,805","74,345","67,893","69,968","62,819","53,020","42,684","37,299","28,452","20,749","21,736"
lacu2023:Coventry,"344,151","20,343","21,919","22,104","24,204","31,102","24,536","25,551","24,077","22,094","20,213","21,410","19,654","16,478","13,451","12,578","10,127","7,157","7,153"
lacu2023:Dudley,"323,591","18,063","19,758","19,255","18,036","17,001","20,235","21,425","20,209","19,038","19,796","23,462","22,254","18,801","16,817","16,951","13,997","9,583","8,910"
lacu2023:Sandwell,"341,895","22,025","24,431","24,478","22,219","20,364","22,234","24,814","24,571","23,179","22,237","23,102","20,925","17,322","13,985","12,611","9,801","7,087","6,510"
lacu2023:Solihull,"216,677","11,604","13,687","13,704","12,143","10,780","11,949","13,021","13,232","13,025","13,597","15,634","15,438","13,089","10,930","11,950","9,641","6,466","6,787"
lacu2023:Walsall,"284,392","18,103","19,519","19,548","17,633","16,108","17,850","19,494","19,162","17,347","17,188","19,207","18,047","15,535","12,897","12,495","9,961","7,463","6,835"
lacu2023:Wolverhampton,"264,260","16,260","17,752","18,107","15,568","15,746","17,009","18,787","18,419","17,377","16,896","18,062","16,552","14,131","11,940","10,842","8,194","6,232","6,386"
lacu2023:Staffordshire,"877,808","43,527","47,635","49,154","45,850","45,429","50,746","54,993","52,682","49,886","54,741","65,886","64,913","56,962","50,088","52,708","41,315","27,293","24,000"
lacu2023:Warwickshire,"599,115","31,068","34,003","34,757","32,274","32,182","35,750","40,513","38,372","36,667","38,138","43,075","42,532","36,321","30,982","32,478","26,334","17,221","16,448"
lacu2023:Worcestershire,"604,902","29,381","33,313","34,589","32,366","30,034","33,232","36,624","35,607","35,358","37,768","44,367","44,592","38,722","35,601","37,467","28,887","18,952","18,042"
lacu2023:Peterborough,"216,470","14,107","15,761","15,629","12,810","11,639","15,185","17,323","17,289","15,409","13,863","13,687","12,440","10,525","8,656","8,117","5,785","4,053","4,192"
lacu2023:Luton,"224,958","15,882","16,608","16,751","15,300","15,390","16,331","17,681","17,697","16,590","14,149","13,788","12,377","9,970","7,786","6,402","4,815","3,750","3,691"
lacu2023:Southend-on-Sea,"180,655","10,089","10,853","11,105","9,386","9,372","11,057","11,909","12,160","12,220","12,217","12,516","12,533","10,570","8,752","9,177","7,000","4,663","5,076"
lacu2023:Thurrock,"175,933","12,169","12,631","12,446","10,594","9,536","11,639","13,984","13,855","12,480","11,619","11,796","10,825","8,406","6,730","6,731","4,601","3,041","2,850"
lacu2023:Bedford,"185,796","11,076","11,773","11,964","10,534","9,980","11,860","13,471","13,375","13,032","12,245","12,995","12,140","10,077","8,370","8,285","6,099","4,153","4,367"
lacu2023:Central Bedfordshire,"295,651","17,856","18,583","17,992","15,128","14,016","17,864","21,320","20,988","19,625","19,206","21,061","21,032","17,734","14,438","14,678","10,810","6,907","6,413"
lacu2023:Cambridgeshire,"680,747","34,448","38,726","38,904","38,352","43,892","46,045","47,921","45,907","44,399","44,340","46,878","45,135","38,182","33,190","34,097","25,996","17,420","16,915"
lacu2023:Essex,"1,506,726","82,899","89,062","90,238","81,055","77,940","87,880","97,638","95,616","93,523","95,615","107,581","105,156","90,727","78,287","84,424","64,126","42,363","42,596"
lacu2023:Hertfordshire,"1,200,899","69,748","76,134","78,583","68,045","61,698","71,120","81,218","84,796","86,007","83,678","85,336","81,914","67,048","53,586","52,874","39,982","28,306","30,826"
lacu2023:Norfolk,"918,462","42,189","48,359","49,164","46,865","51,199","52,345","55,343","53,165","50,617","54,714","63,204","65,876","60,156","55,626","60,600","46,754","31,233","31,053"
lacu2023:Suffolk,"763,349","37,052","41,614","43,175","39,840","38,203","44,005","46,816","44,486","43,553","46,265","53,698","54,868","49,293","44,672","48,796","37,306","24,828","24,879"
lacu2023:City of London,"8,689",215,164,173,220,994,"1,246","1,007",707,558,525,657,523,460,408,326,217,164,125
lacu2023:Barking and Dagenham,"218,714","17,077","18,191","18,260","15,511","13,166","15,056","17,944","18,500","17,012","14,953","13,892","11,389","8,627","6,009","4,761","3,343","2,528","2,495"
lacu2023:Barnet,"388,955","23,930","25,087","25,764","22,196","22,068","27,468","29,896","30,512","30,090","27,444","25,653","23,027","19,254","15,480","14,464","10,698","7,290","8,634"
lacu2023:Bexley,"246,637","14,867","16,105","16,506","14,370","13,562","14,695","17,101","17,646","17,246","15,926","17,210","16,689","13,683","10,671","10,500","7,920","5,953","5,987"
lacu2023:Brent,"339,248","19,984","19,781","20,835","20,750","24,319","28,927","29,497","27,533","25,461","23,052","22,729","19,957","16,532","12,469","9,685","7,061","5,441","5,235"
lacu2023:Bromley,"329,899","19,287","20,547","20,926","17,813","14,661","18,132","22,087","24,615","25,166","23,638","23,849","22,449","18,368","14,406","15,321","11,491","8,075","9,068"
lacu2023:Camden,"210,968","10,092","9,815","10,435","13,273","20,619","22,209","20,663","16,531","14,537","13,406","13,300","11,813","9,262","7,229","6,481","4,964","3,266","3,073"
lacu2023:Croydon,"390,691","25,039","24,838","25,464","22,829","21,580","27,149","31,365","31,047","28,586","25,987","26,959","25,962","20,452","15,380","13,741","9,913","7,183","7,217"
lacu2023:Ealing,"366,762","21,345","22,019","23,571","22,080","22,616","28,556","30,472","30,521","29,729","26,530","24,735","22,009","17,792","13,707","11,440","8,045","5,991","5,604"
lacu2023:Enfield,"329,876","21,025","22,508","24,124","21,836","19,128","21,115","22,854","23,702","24,567","22,710","22,604","21,095","17,290","12,901","11,179","8,292","6,455","6,491"
