Area,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
"lacu2023:Bristol, City of","471,285","25,685","26,628","25,562","28,085","47,784","44,291","43,704","37,950","31,355","27,000","26,382","25,074","20,778","16,906","16,023","11,508","8,135","8,435"
lacu2023:North Somerset,"217,385","10,585","12,221","12,899","11,136","9,765","10,778","12,393","13,093","13,434","14,000","15,545","15,772","13,566","12,494","13,914","11,012","7,306","7,472"
lacu2023:South Gloucestershire,"290,886","15,995","17,105","16,788","15,979","18,165","19,443","20,621","19,691","18,210","17,878","20,255","19,960","16,231","13,504","14,109","11,520","7,765","7,667"
lacu2023:Plymouth,"264,768","13,149","15,059","15,079","15,422","21,141","17,907","18,494","17,453","15,763","15,586","17,609","17,409","15,407","12,984","13,090","9,972","6,660","6,584"
lacu2023:Torbay,"139,440","6,003","7,250","7,553","6,924","6,153","7,032","7,621","7,318","7,258","8,099","10,234","10,789","9,882","9,238","9,858","7,792","5,072","5,364"
lacu2023:Swindon,"233,760","13,556","15,119","14,865","12,458","11,966","15,079","17,294","17,309","16,375","16,251","16,728","16,074","13,301","10,597","9,861","7,148","4,897","4,882"
lacu2023:Cornwall,"571,948","25,416","30,221","31,365","29,433","28,724","28,368","31,754","30,977","31,397","34,409","40,780","43,400","40,612","37,482","40,185","30,293","18,754","18,378"
lacu2023:Isles of Scilly,"2,271",100,105,103,91,163,136,122,145,155,106,154,161,134,119,151,135,95,96
lacu2023:Wiltshire,"513,240","25,357","29,363","30,542","28,159","24,843","28,719","31,068","30,798","29,750","33,040","37,564","38,185","33,394","28,880","29,804","23,033","15,278","15,463"
"lacu2023:Bournemouth, Christchurch and Poole","400,155","18,796","21,171","21,401","21,656","26,936","23,625","26,110","26,218","25,693","24,572","26,851","26,668","23,593","20,717","22,588","17,547","12,065","13,948"
lacu2023:Dorset,"381,245","14,991","18,068","20,432","19,547","15,659","16,615","18,402","18,379","18,988","21,239","26,883","29,858","29,137","27,095","30,325","23,529","15,677","16,421"
lacu2023:Somerset,"573,100","26,972","30,437","32,627","30,410","26,060","30,250","33,101","31,693","30,790","34,173","41,380","43,334","39,035","36,102","38,531","29,324","19,194","19,687"
lacu2023:Devon,"814,435","35,174","41,222","43,345","44,469","44,537","40,808","44,145","43,790","43,104","47,337","57,128","61,315","57,118","52,516","56,585","43,767","28,505","29,570"
lacu2023:Gloucestershire,"646,485","32,034","36,061","37,505","35,006","33,500","36,599","40,295","39,644","38,554","40,328","46,565","47,917","41,684","36,169","37,232","28,676","19,374","19,342"
lacu2023:Isle of Anglesey,"68,937","3,150","3,846","3,957","3,519","3,058","3,318","3,681","3,448","3,500","3,957","4,970","5,208","5,026","4,767","5,056","3,750","2,531","2,195"
lacu2023:Gwynedd,"117,072","5,315","6,236","6,539","6,814","8,397","6,447","6,638","5,912","5,926","6,748","8,086","8,571","8,035","7,157","7,233","5,575","3,624","3,819"
lacu2023:Conwy,"114,788","4,981","5,815","6,270","5,614","5,036","5,519","6,166","5,821","5,725","6,522","8,188","9,073","8,591","7,883","8,491","6,305","4,287","4,501"
lacu2023:Denbighshire,"96,047","4,754","5,324","5,705","5,273","4,477","5,087","5,156","4,902","4,952","5,684","6,856","7,330","6,662","6,081","6,577","4,906","3,266","3,055"
lacu2023:Flintshire,"155,045","7,572","8,630","9,376","8,300","7,404","8,858","9,729","9,421","8,945","9,818","11,915","11,670","10,037","8,598","9,626","6,751","4,542","3,853"
lacu2023:Wrexham,"135,152","6,914","7,961","8,302","7,388","6,960","7,865","8,595","8,720","8,214","8,576","10,145","9,657","8,308","7,491","7,558","5,573","3,549","3,376"
lacu2023:Ceredigion,"70,676","2,687","3,297","3,419","4,383","5,910","3,570","3,480","3,313","3,153","3,606","4,753","5,428","5,164","4,919","5,063","3,783","2,399","2,349"
lacu2023:Pembrokeshire,"123,633","5,540","6,706","7,083","6,409","5,682","6,249","6,696","6,322","6,214","6,855","8,647","9,609","9,118","8,608","8,829","6,630","4,320","4,116"
lacu2023:Carmarthenshire,"188,172","8,901","10,252","10,990","10,107","8,796","9,874","10,729","10,462","10,199","11,063","13,244","14,324","13,543","12,420","12,147","9,392","6,027","5,702"
lacu2023:Swansea,"237,897","11,342","12,989","13,711","13,951","18,740","14,187","15,087","14,605","13,880","13,858","15,733","16,003","14,580","12,788","13,119","9,750","6,816","6,758"
lacu2023:Neath Port Talbot,"141,934","6,926","7,992","8,404","8,738","7,507","8,286","8,788","8,767","8,237","8,385","9,792","10,332","9,551","8,337","8,238","5,970","3,986","3,698"
lacu2023:Bridgend,"145,738","7,287","8,330","8,737","7,737","7,435","8,751","9,872","8,963","8,607","9,075","10,641","10,701","9,249","8,077","8,231","6,135","4,268","3,642"
lacu2023:Vale of Glamorgan,"132,491","6,796","7,866","8,330","7,114","6,115","7,189","7,925","8,160","8,177","8,189","9,232","9,477","8,705","7,837","7,819","5,904","3,929","3,727"
lacu2023:Cardiff,"359,824","18,901","21,493","21,573","24,659","36,564","29,396","26,949","25,021","22,367","20,265","21,009","20,572","18,147","14,967","14,104","9,772","6,867","7,198"
lacu2023:Rhondda Cynon Taf,"237,545","12,389","14,011","14,550","13,516","14,250","14,577","16,082","15,283","13,720","14,351","16,695","16,793","14,541","12,770","13,191","9,473","6,111","5,242"
lacu2023:Caerphilly,"175,999","9,105","10,412","10,797","9,711","9,034","10,601","11,609","11,252","10,626","10,887","12,612","12,661","11,079","9,850","10,046","7,165","4,672","3,880"
lacu2023:Blaenau Gwent,"66,989","3,472","3,722","3,799","3,391","3,548","4,362","4,609","4,053","3,683","4,075","5,077","5,215","4,345","3,719","3,816","2,842","1,789","1,472"
lacu2023:Torfaen,"92,454","4,964","5,366","5,644","5,014","4,735","5,771","6,272","5,740","5,260","5,286","6,390","6,770","5,944","5,246","5,234","3,838","2,548","2,432"
lacu2023:Monmouthshire,"93,163","3,926","4,614","5,145","4,709","3,870","4,499","4,777","4,919","5,041","5,704","7,243","7,844","6,732","6,154","6,392","4,982","3,306","3,306"
lacu2023:Newport,"159,687","9,670","10,330","10,290","8,780","8,665","10,949","12,436","11,258","9,986","9,595","10,781","10,690","9,070","7,293","7,200","5,436","3,751","3,507"
lacu2023:Powys,"133,521","5,691","6,523","6,982","6,605","5,770","6,526","6,762","6,481","6,412","7,600","9,666","10,714","10,436","9,893","10,004","7,684","5,001","4,771"
lacu2023:Merthyr Tydfil,"58,869","3,281","3,636","3,574","3,179","3,199","3,649","4,119","4,038","3,382","3,438","4,108","4,291","3,803","3,166","3,135","2,204","1,429","1,238"
lacu2023:Clackmannanshire,"51,600","2,346","2,790","3,021","2,691","2,681","2,953","3,068","3,018","2,979","3,432","4,174","4,160","3,590","3,124","3,119","2,133","1,294","1,027"
lacu2023:Dumfries and Galloway,"146,250","6,020","6,929","7,894","6,839","6,575","7,017","7,501","7,334","7,072","8,347","11,098","12,509","11,681","10,670","10,750","7,891","5,357","4,766"
lacu2023:East Ayrshire,"120,500","5,799","6,689","6,732","6,235","6,091","6,665","7,388","7,140","6,832","7,738","9,417","9,593","8,640","7,431","7,158","4,909","3,340","2,703"
lacu2023:East Lothian,"111,340","5,466","6,475","6,777","6,076","5,224","5,773","6,406","6,748","6,843","7,345","8,483","8,685","7,834","6,424","6,206","4,586","3,086","2,903"
lacu2023:East Renfrewshire,"96,210","4,775","6,447","6,758","5,682","4,530","3,845","4,598","5,690","6,411","6,391","6,947","7,005","6,505","5,677","5,235","3,892","2,790","3,032"
lacu2023:Na h-Eileanan Siar,"26,160","1,048","1,298","1,363","1,220",967,"1,201","1,268","1,252","1,512","1,696","2,100","2,218","2,080","1,914","1,836","1,283","1,023",881
lacu2023:Falkirk,"158,760","7,431","8,505","9,507","8,162","8,510","9,420","9,931","10,047","10,004","11,079","12,538","12,282","10,511","8,772","8,711","5,859","4,072","3,419"
lacu2023:Highland,"235,850","9,993","12,083","12,960","11,675","10,940","12,124","13,106","13,803","13,807","14,899","18,104","19,421","17,714","15,950","15,019","10,693","7,071","6,488"
lacu2023:Inverclyde,"78,390","3,287","3,807","4,132","3,977","4,164","4,363","4,514","4,460","4,374","4,790","6,132","6,900","6,173","4,988","4,624","3,316","2,295","2,094"
lacu2023:Midlothian,"95,670","5,486","5,959","5,455","4,783","4,841","5,634","6,797","6,784","6,037","6,013","6,855","6,782","6,138","5,125","5,160","3,594","2,322","1,905"
lacu2023:Moray,"94,270","4,261","4,911","5,354","4,851","4,824","5,280","5,485","5,394","5,295","6,062","7,187","7,347","6,731","5,959","5,708","4,128","2,831","2,662"
lacu2023:North Ayrshire,"133,860","5,650","6,861","7,475","7,085","6,925","6,939","7,224","7,260","7,152","8,409","10,209","11,106","10,076","9,082","8,693","6,271","4,053","3,390"
lacu2023:Orkney Islands,"22,030",979,"1,097","1,206","1,022",904,"1,178","1,255","1,233","1,144","1,354","1,725","1,855","1,672","1,491","1,426","1,094",751,644
lacu2023:Scottish Borders,"117,080","4,857","5,857","6,436","5,738","5,022","5,283","5,672","6,069","6,050","7,326","9,257","9,863","9,292","8,316","8,347","5,930","4,082","3,683"
lacu2023:Shetland Islands,"22,960","1,098","1,355","1,473","1,238","1,082","1,238","1,374","1,274","1,425","1,511","1,678","1,734","1,517","1,396","1,323","1,028",661,555
lacu2023:South Ayrshire,"111,560","4,513","5,469","5,991","5,378","5,280","5,291","5,598","5,916","5,975","6,714","8,328","9,010","8,790","8,038","7,850","5,810","3,938","3,671"
lacu2023:South Lanarkshire,"325,390","15,969","17,416","18,220","16,956","17,257","18,707","19,740","20,807","20,220","20,982","25,108","25,472","23,185","19,739","17,396","12,322","8,439","7,455"
lacu2023:Stirling,"91,470","3,865","4,672","5,193","6,063","7,098","4,765","4,853","5,000","5,292","5,709","7,022","7,116","6,087","5,071","5,096","3,714","2,586","2,268"
lacu2023:Aberdeen City,"220,630","10,680","11,104","10,759","12,320","18,764","16,622","17,380","16,242","14,343","13,522","13,952","14,196","12,979","10,952","10,131","6,719","5,063","4,902"
lacu2023:Aberdeenshire,"263,140","13,171","15,892","16,374","13,685","11,227","12,249","15,143","16,901","17,085","18,031","20,504","20,452","17,937","15,953","15,218","10,336","6,789","6,193"
lacu2023:Argyll and Bute,"87,960","3,286","4,054","4,405","4,010","4,060","4,339","4,512","4,506","4,655","5,319","6,868","7,561","7,165","6,381","6,507","4,521","3,081","2,730"
lacu2023:City of Edinburgh,"505,750","22,283","24,079","24,193","29,258","45,573","43,458","42,827","37,886","33,896","30,624","31,639","31,172","27,672","22,702","21,490","14,725","10,721","11,552"
lacu2023:Renfrewshire,"182,330","8,400","9,424","9,649","9,545","10,624","11,738","12,311","11,808","10,981","11,252","14,000","14,280","12,823","10,175","9,605","6,779","4,725","4,211"
lacu2023:West Dunbartonshire,"88,510","4,143","4,866","5,189","4,584","4,822","5,246","5,591","5,578","5,132","5,361","6,710","7,235","6,537","5,385","4,751","3,236","2,179","1,965"
lacu2023:West Lothian,"180,850","9,247","10,878","11,473","9,956","9,485","10,427","11,885","12,238","11,746","12,719","14,478","13,617","11,492","9,237","8,889","6,089","3,915","3,079"
lacu2023:Angus,"114,950","4,957","5,992","6,233","5,850","5,403","5,719","6,138","6,620","6,352","7,051","8,483","9,267","8,483","7,544","8,010","5,549","3,745","3,554"
lacu2023:Dundee City,"146,790","6,717","7,478","7,933","9,664","13,621","10,637","10,471","9,520","8,019","7,829","9,212","9,801","9,219","7,291","7,055","4,928","3,647","3,748"
lacu2023:East Dunbartonshire,"108,920","5,211","6,275","6,436","5,580","4,936","4,703","5,530","6,459","6,865","6,828","7,883","8,549","7,890","6,910","6,633","4,906","3,758","3,568"
lacu2023:Fife,"370,880","16,998","19,743","21,593","20,869","22,211","20,013","21,758","22,093","21,703","22,897","27,506","28,319","25,730","22,087","22,097","15,736","10,122","9,405"
lacu2023:Perth and Kinross,"150,700","6,352","7,468","8,398","7,581","7,156","7,528","8,111","8,688","8,565","9,425","11,438","12,176","10,980","10,010","9,785","7,087","4,977","4,975"
lacu2023:Glasgow City,"610,860","29,524","30,609","30,055","35,524","54,251","56,817","53,863","45,005","37,358","35,055","39,751","40,790","35,837","27,830","22,099","15,083","10,956","10,453"
lacu2023:North Lanarkshire,"341,280","17,146","19,094","20,570","19,546","20,041","20,296","21,696","22,121","21,850","22,925","26,927","26,381","22,278","18,492","16,483","11,523","7,831","6,080"
lacu2023:Antrim and Newtownabbey,"145,852","8,220","9,373","9,858","8,700","7,762","8,713","9,553","9,908","9,831","9,758","10,306","10,028","8,527","7,057","6,460","5,211","3,496","3,091"
"lacu2023:Armagh City, Banbridge and Craigavon","219,127","14,041","15,488","15,814","13,289","11,382","13,228","14,687","15,184","14,527","14,302","15,014","14,504","12,331","9,896","9,069","7,326","4,808","4,237"
lacu2023:Belfast,"344,992","19,559","21,343","21,201","20,863","29,041","26,824","26,590","24,563","21,680","19,531","21,054","22,011","19,553","14,970","12,173","10,028","6,897","7,111"
lacu2023:Causeway Coast and Glens,"141,664","7,882","8,858","9,121","8,330","7,842","7,641","8,377","8,573","8,487","9,193","10,356","10,211","9,191","7,848","6,991","5,745","3,778","3,240"
lacu2023:Derry City and Strabane,"150,834","9,226","10,240","10,451","9,437","8,628","8,904","9,782","10,022","9,740","9,758","10,710","10,691","8,930","7,387","6,570","4,828","3,103","2,427"
lacu2023:Fermanagh and Omagh,"116,926","7,288","7,860","8,086","7,267","5,939","6,279","6,732","7,597","7,505","7,506","7,925","7,940","7,354","6,545","5,685","4,164","2,756","2,498"
lacu2023:Lisburn and Castlereagh,"149,272","9,011","9,591","9,792","7,988","7,006","8,832","10,334","10,607","10,033","9,633","10,455","10,477","9,090","7,146","6,482","5,470","3,824","3,501"
lacu2023:Mid and East Antrim,"139,127","7,568","8,146","8,485","8,020","7,127","7,633","8,404","8,537","8,566","9,031","10,665","10,325","9,069","7,579","7,010","5,747","3,822","3,393"
lacu2023:Mid Ulster,"150,598","10,601","10,995","11,009","9,655","8,330","9,184","10,230","10,897","10,149","9,992","9,720","9,157","7,956","6,669","5,768","4,572","2,984","2,730"
"lacu2023:Newry, Mourne and Down","182,345","11,648","13,021","13,158","11,366","9,877","10,277","11,274","11,859","11,850","11,534","12,577","12,363","10,904","9,210","7,842","6,086","3,887","3,612"
lacu2023:Ards and North Down,"163,827","7,988","9,621","10,155","8,863","7,372","8,426","9,468","9,882","10,173","10,700","11,831","11,829","11,022","9,640","9,685","8,085","4,705","4,382"
ladu2023:Hartlepool,"92,575","4,967","5,538","5,947","5,285","5,155","5,458","5,899","5,526","5,094","5,316","6,607","7,082","6,365","5,257","5,084","3,272","2,465","2,258"
ladu2023:Middlesbrough,"143,943","8,898","9,721","9,508","8,636","9,984","10,306","10,263","9,508","8,061","7,883","8,672","9,396","8,736","7,259","6,466","4,404","3,204","3,038"
ladu2023:Redcar and Cleveland,"136,605","6,741","7,802","8,025","7,234","6,549","7,435","7,904","7,683","7,251","7,820","9,897","10,725","9,602","8,524","8,661","6,460","4,488","3,804"
ladu2023:Stockton-on-Tees,"197,032","10,602","12,372","13,061","10,911","9,562","11,889","13,037","13,173","12,141","11,948","13,910","14,069","12,839","10,863","10,285","7,007","4,979","4,384"
ladu2023:Darlington,"108,210","5,472","6,319","6,651","5,959","5,346","6,378","6,963","6,631","6,687","6,819","7,762","7,935","7,017","6,003","6,014","4,228","3,129","2,897"
ladu2023:County Durham,"521,447","24,545","28,212","29,549","30,673","32,827","28,974","30,711","30,686","29,368","31,102","37,884","39,574","35,347","31,077","30,747","22,111","15,014","13,046"
ladu2023:Northumberland,"321,532","14,192","16,645","17,404","16,025","14,003","15,839","17,060","17,433","17,444","19,375","23,241","25,705","24,885","22,690","23,071","16,158","10,553","9,809"
ladu2023:Newcastle upon Tyne,"298,545","15,499","16,716","16,489","21,366","36,574","23,453","21,223","19,679","17,052","15,960","16,809","17,319","15,537","12,816","11,814","8,015","5,976","6,248"
ladu2023:North Tyneside,"209,128","10,856","11,962","12,087","10,668","9,434","12,059","13,878","14,277","13,744","13,481","14,590","15,211","13,668","12,171","11,855","8,081","5,585","5,521"
ladu2023:South Tyneside,"147,919","7,759","8,540","8,630","7,585","7,247","8,601","9,793","9,501","8,536","8,579","10,352","11,219","10,517","8,816","8,373","5,742","4,219","3,910"
ladu2023:Sunderland,"274,378","13,765","15,209","16,037","14,719","15,119","16,954","18,026","17,167","15,789","16,451","19,529","19,966","19,008","16,163","15,518","10,449","7,649","6,860"
ladu2023:Gateshead,"196,179","10,008","11,048","11,264","10,126","10,321","12,705","13,122","13,050","11,868","11,872","13,897","14,252","12,663","10,654","10,787","7,485","5,792","5,265"
ladu2023:Halton,"128,570","6,911","7,860","8,070","7,261","6,739","7,845","8,521","8,521","7,994","8,284","9,074","9,125","8,189","7,255","7,193","4,368","2,845","2,515"
ladu2023:Warrington,"211,182","10,538","12,301","12,869","11,358","10,436","12,408","13,870","14,218","13,707","14,115","16,014","15,937","13,049","10,680","10,747","8,315","5,842","4,778"
ladu2023:Blackburn with Darwen,"154,954","10,034","11,134","11,747","11,005","9,465","9,985","10,679","10,831","10,041","9,795","10,282","9,406","8,000","6,758","6,199","4,129","2,862","2,602"
ladu2023:Blackpool,"140,976","7,299","7,873","7,895","7,458","7,324","8,446","9,506","8,572","7,722","8,481","10,550","11,051","9,437","7,762","7,805","5,909","4,115","3,771"
ladu2023:Cheshire East,"400,474","19,952","22,091","22,918","20,311","17,617","21,640","24,367","24,681","24,034","26,029","30,389","30,535","25,920","22,422","24,354","18,422","12,488","12,304"
ladu2023:Cheshire West and Chester,"357,730","17,487","19,790","20,418","18,940","19,543","21,114","22,607","22,410","20,959","22,657","26,067","26,589","22,847","19,896","20,536","15,334","10,670","9,866"
ladu2023:Cumberland,"273,788","12,784","14,552","15,152","13,628","13,316","15,690","16,078","15,873","14,686","16,420","20,409","21,581","19,932","17,098","17,647","12,247","8,701","7,994"
ladu2023:Westmorland and Furness,"226,941","9,455","10,699","11,653","11,565","10,189","11,995","12,526","12,118","11,731","13,524","17,289","18,599","17,038","14,936","16,011","11,892","8,220","7,501"
ladu2023:Burnley,"94,734","5,719","6,163","6,317","5,563","5,099","6,078","6,742","6,386","5,666","5,715","6,302","6,326","5,657","4,736","4,816","3,376","2,156","1,917"
ladu2023:Chorley,"117,908","5,985","6,979","6,951","6,009","5,342","6,519","7,648","7,796","7,429","7,884","9,031","8,670","7,407","6,403","6,964","5,048","3,215","2,628"
ladu2023:Fylde,"81,750","3,291","3,881","4,129","3,790","3,262","3,764","4,246","4,532","4,222","4,676","6,007","6,690","6,432","5,617","5,976","4,755","3,234","3,246"
ladu2023:Hyndburn,"82,271","4,907","5,227","5,337","5,020","4,527","5,314","5,651","5,212","4,768","5,014","5,896","5,512","4,776","4,065","4,229","3,083","1,980","1,753"
ladu2023:Lancaster,"142,351","6,670","7,442","7,578","9,995","12,775","7,983","8,254","8,470","7,781","7,789","9,442","9,808","8,889","7,662","7,941","5,887","3,999","3,986"
ladu2023:Pendle,"95,819","5,878","6,514","6,783","5,876","5,225","5,544","6,424","6,507","5,892","5,852","6,308","6,158","5,556","4,817","4,896","3,362","2,163","2,064"
ladu2023:Preston,"147,786","8,939","9,257","9,266","9,620","12,348","10,936","10,717","10,024","9,190","8,932","9,448","9,365","7,767","6,223","5,748","4,041","3,006","2,959"
ladu2023:Ribble Valley,"61,865","2,647","3,076","3,652","3,359","2,747","2,825","3,251","3,271","3,356","3,929","4,996","5,162","4,626","3,820","3,985","3,147","2,048","1,968"
ladu2023:Rossendale,"71,008","3,771","4,366","4,557","3,930","3,220","4,058","4,618","4,428","4,325","4,706","5,493","5,287","4,516","3,917","3,971","2,662","1,637","1,546"
ladu2023:South Ribble,"111,203","5,430","6,357","6,504","5,768","5,212","6,064","7,084","6,683","6,619","7,274","8,334","8,523","7,124","6,328","6,690","4,888","3,332","2,989"
ladu2023:West Lancashire,"117,099","5,207","5,959","6,551","8,438","8,219","5,871","6,459","6,314","6,092","6,999","8,458","8,986","7,688","6,685","7,006","5,356","3,661","3,150"
ladu2023:Wyre,"112,434","4,823","5,565","5,978","5,783","4,812","5,491","5,908","5,738","5,585","6,272","7,987","8,818","8,471","7,604","8,406","6,414","4,557","4,222"
ladu2023:Bolton,"296,169","18,265","20,322","20,977","18,626","16,615","17,692","19,994","19,954","18,504","18,536","20,114","19,278","16,289","13,903","14,161","10,256","6,838","5,845"
ladu2023:Bury,"193,866","11,098","12,429","12,839","11,456","9,518","11,420","13,401","13,360","12,117","12,398","13,423","13,498","11,272","9,476","9,889","7,143","4,834","4,295"
ladu2023:Manchester,"550,630","34,005","36,418","36,398","40,540","61,646","52,810","47,993","42,126","35,960","31,142","30,337","26,954","21,695","16,726","13,878","9,306","6,632","6,064"
ladu2023:Oldham,"242,003","15,897","17,350","17,992","16,488","14,140","14,829","16,635","16,243","15,167","14,670","15,980","15,088","12,703","10,856","10,619","7,688","5,346","4,312"
ladu2023:Rochdale,"224,127","14,501","15,502","15,790","13,737","12,216","13,947","15,848","15,355","14,224","13,848","15,106","14,441","12,550","10,880","10,353","7,061","4,611","4,157"
ladu2023:Salford,"270,866","17,203","16,713","16,111","15,253","22,993","26,553","24,703","20,588","16,386","14,984","15,479","15,073","12,787","9,719","9,883","6,982","5,025","4,431"
ladu2023:Stockport,"295,268","16,512","18,037","17,917","15,186","13,357","16,765","20,031","20,517","19,584","18,941","20,607","20,436","17,774","15,363","15,578","11,757","8,489","8,417"
ladu2023:Tameside,"231,220","13,539","14,676","14,876","12,727","11,854","14,815","16,582","15,859","14,335","14,476","16,559","16,332","13,887","11,190","11,531","8,154","5,349","4,479"
ladu2023:Trafford,"235,586","13,304","15,950","16,540","13,676","10,645","12,498","14,844","17,221","17,466","16,356","16,568","15,914","13,135","10,810","10,688","8,034","6,004","5,933"
ladu2023:Wigan,"329,796","17,651","19,206","19,821","17,755","16,933","20,639","22,914","21,799","19,748","21,011","25,044","23,369","19,923","16,902","18,326","13,716","8,546","6,493"
ladu2023:Knowsley,"154,978","9,793","9,506","9,168","8,563","8,484","10,617","11,774","10,416","8,647","8,665","10,650","11,700","10,555","8,304","6,930","4,474","3,495","3,237"
ladu2023:Liverpool,"485,022","26,298","26,778","25,338","31,627","49,388","38,099","37,596","33,351","27,961","26,381","29,069","30,484","27,751","22,650","19,973","13,503","9,925","8,850"
ladu2023:St. Helens,"183,394","9,599","10,310","10,625","9,547","9,357","11,414","12,255","11,776","10,729","11,596","13,468","13,333","11,578","9,928","10,504","7,736","5,212","4,427"
ladu2023:Sefton,"279,693","13,492","15,088","15,330","14,231","13,467","15,058","17,152","16,929","15,672","16,463","20,070","21,596","19,987","16,881","16,605","12,626","9,556","9,490"
ladu2023:Wirral,"320,631","16,233","18,691","19,319","17,373","15,062","17,730","19,718","19,272","18,388","19,529","22,921","23,904","21,672","18,939","19,110","13,702","9,676","9,392"
"ladu2023:Kingston upon Hull, City of","266,516","15,792","17,206","16,781","15,386","19,092","20,000","20,795","18,816","15,890","16,178","17,269","17,182","15,011","12,297","11,352","7,310","5,197","4,962"
ladu2023:East Riding of Yorkshire,"343,145","14,681","17,324","18,430","17,173","14,540","16,646","18,012","18,119","17,978","21,168","25,622","27,302","25,085","23,194","25,188","18,450","12,609","11,624"
ladu2023:North East Lincolnshire,"157,188","8,360","9,507","9,599","8,628","7,912","9,213","10,404","9,544","8,500","9,225","11,110","11,799","10,347","8,809","8,815","6,366","4,634","4,416"
ladu2023:North Lincolnshire,"169,929","8,406","9,604","10,139","9,085","8,114","9,531","10,662","10,377","9,325","10,173","12,532","12,990","11,475","10,048","10,226","7,460","4,987","4,795"
ladu2023:York,"201,851","8,565","9,871","10,299","14,064","20,340","12,856","12,930","12,499","12,023","11,776","13,321","12,977","11,327","9,802","10,396","7,701","5,497","5,607"
ladu2023:North Yorkshire,"618,627","27,532","31,277","33,669","32,905","26,792","31,486","34,010","33,337","33,466","37,255","46,533","49,761","45,588","40,125","42,082","31,190","21,133","20,486"
ladu2023:Barnsley,"244,887","13,357","14,277","14,439","12,517","12,377","15,933","16,990","15,657","14,007","14,964","18,718","18,067","15,679","13,418","13,049","9,715","6,255","5,468"
ladu2023:Doncaster,"308,697","16,914","18,081","18,684","16,390","16,122","19,986","21,929","20,206","18,163","18,454","21,818","22,033","19,672","16,640","16,361","11,675","8,013","7,556"
ladu2023:Rotherham,"266,173","14,535","15,989","16,536","14,772","14,020","16,303","18,044","17,024","15,387","16,411","19,448","18,657","16,496","14,096","14,185","10,789","7,261","6,220"
ladu2023:Sheffield,"555,035","29,977","32,010","32,102","35,885","50,125","40,407","39,137","35,276","32,221","32,019","36,235","34,620","29,730","24,850","24,491","19,247","13,684","13,019"
ladu2023:Bradford,"546,839","35,806","39,400","41,299","38,274","33,221","34,298","37,870","38,123","35,915","33,578","34,402","32,211","28,942","24,244","22,393","14,742","11,098","11,023"
ladu2023:Calderdale,"206,828","11,228","12,796","13,285","11,831","10,172","11,931","12,929","13,006","12,708","13,606","15,734","15,136","12,970","10,906","11,072","7,815","5,014","4,689"
ladu2023:Kirklees,"433,458","24,955","27,454","28,649","27,079","25,719","26,448","28,294","28,205","27,255","27,793","30,960","28,610","24,773","20,972","21,501","15,148","10,269","9,374"
ladu2023:Leeds,"809,479","46,395","49,557","48,365","49,861","69,406","60,266","60,484","56,826","52,040","48,782","50,936","48,258","40,863","33,867","34,177","24,535","17,433","17,428"
ladu2023:Wakefield,"353,803","19,926","21,034","20,933","18,175","17,775","23,462","25,258","23,824","20,893","22,278","26,427","25,062","21,706","18,453","18,509","13,510","8,873","7,705"
ladu2023:Derby,"261,260","15,122","16,832","17,096","16,172","18,353","18,280","18,345","18,210","16,606","16,267","17,267","16,259","13,394","11,363","11,103","8,294","6,064","6,233"
ladu2023:Leicester,"366,940","22,004","24,803","25,443","27,427","35,396","27,284","27,411","27,219","24,702","22,592","21,958","19,494","17,391","14,026","11,393","7,415","5,480","5,502"
ladu2023:Rutland,"41,342","1,627","1,974","2,442","2,910","1,958","2,179","2,218","2,214","2,355","2,429","2,964","2,951","2,735","2,471","2,797","2,203","1,458","1,457"
ladu2023:Nottingham,"319,978","17,645","19,273","18,859","28,087","43,674","23,923","24,113","21,336","18,483","17,475","17,854","17,106","14,036","11,009","9,805","6,931","5,069","5,300"
ladu2023:North Northamptonshire,"360,418","20,139","22,381","23,358","20,312","17,727","22,115","24,867","24,538","23,350","23,724","26,520","25,035","20,729","17,908","18,377","13,388","8,234","7,716"
ladu2023:West Northamptonshire,"426,707","23,959","26,340","26,873","24,130","24,079","27,145","30,768","29,822","28,712","28,500","30,353","29,003","23,717","19,891","20,418","14,723","9,317","8,957"
ladu2023:Amber Valley,"126,442","6,018","6,699","7,081","6,164","6,043","7,184","7,542","7,237","7,189","8,337","9,948","9,878","8,456","7,537","8,158","5,984","3,680","3,307"
ladu2023:Bolsover,"80,473","4,099","4,421","4,520","3,998","4,194","5,243","5,418","5,007","4,355","5,100","6,399","6,109","5,264","4,420","4,422","3,555","2,089","1,860"
ladu2023:Chesterfield,"103,673","5,044","5,568","5,807","5,032","5,290","6,489","6,499","6,159","6,101","6,570","7,693","7,951","6,960","6,051","6,075","4,566","2,980","2,838"
ladu2023:Derbyshire Dales,"71,659","2,604","3,265","3,763","3,636","2,814","2,968","3,170","3,200","3,673","4,524","5,904","6,342","5,674","5,147","5,493","4,183","2,714","2,585"
ladu2023:Erewash,"113,039","5,430","6,338","6,337","5,844","5,707","6,963","7,530","6,986","6,623","7,258","8,704","8,570","7,139","6,048","6,439","4,941","3,187","2,995"
